id,type,text1,text2,text3,text4,text5,notes
sr_luna,CUSTOM,"Luna, Earth's Moon, is far more than just a satellite - it's Earth's cosmic partner and humanity's stepping stone to the stars. Formed 4.5 billion years ago likely from debris created when a Mars-sized object collided with early Earth, the Moon has been gradually moving away from our planet ever since, currently receding at 3.8 centimeters per year. Tidally locked in synchronous rotation, Luna always shows the same face to Earth, with the far side remaining hidden until spacecraft revealed its heavily cratered landscape in 1959. The Moon's gravitational pull creates Earth's tides, stabilizes our planet's axial tilt, and gradually slows Earth's rotation. Luna's surface preserves a 4-billion-year record of impacts that Earth's active geology has long since erased, making it a museum of early Solar System history and the target of humanity's first steps beyond our home world.",,"Luna's surface tells the story of the Solar System's violent youth through its maria (dark volcanic plains) and highlands (bright, heavily cratered terrain). The Moon's interior likely contains a small iron core, rocky mantle, and thin crust, with moonquakes still occurring due to tidal forces and thermal expansion. Water ice has been confirmed in permanently shadowed polar craters, deposited by comets and asteroids over billions of years and preserved in the eternal cold. The Apollo missions brought back 842 pounds of lunar samples that revolutionized our understanding of planetary formation, while ongoing robotic missions from multiple nations continue to explore Luna's resources and potential as a base for deeper space exploration. As Earth's constant companion, the Moon serves as both our shared human heritage and the gateway to becoming a spacefaring civilization.",,,
sr_io,CUSTOM,"Io is a world on fire, the most volcanically active body in the Solar System with over 400 active volcanoes powered by the immense tidal forces of Jupiter's gravity. As Io orbits through Jupiter's magnetosphere every 42 hours, it experiences constant stretching and flexing that generates enough internal heat to melt rock and drive continuous eruptions. Sulfur and sulfur dioxide paint Io's surface in brilliant yellows, oranges, and whites, while volcanic plumes can tower 500 kilometers above the surface - high enough to be seen from Earth-based telescopes. The moon has no water and virtually no impact craters, as its surface is completely resurfaced by volcanic activity every few thousand years. Io's thin atmosphere consists mainly of sulfur dioxide gas from volcanic outgassing, and its volcanoes pump out more heat per unit area than any other solid body in the Solar System.",,"Io exists in a state of perpetual geological violence, with some volcanoes producing eruptions hot enough to melt silicate rock - temperatures not seen on Earth for billions of years. The tidal heating that drives this activity comes from Io's orbital resonance with Europa and Ganymede, which prevents its orbit from becoming circular and maintains the gravitational stress that flexes the moon's interior. Io's volcanoes come in different types: some produce towering plumes of sulfur dioxide gas and dust, while others create vast lava lakes and flows of molten sulfur. The moon acts as a massive electrical generator as it moves through Jupiter's magnetic field, creating electrical currents that flow between Io and Jupiter's upper atmosphere. This hellish world provides insights into the early volcanic activity that shaped all rocky planets, preserved in an environment where tidal forces maintain conditions long since extinct elsewhere in the Solar System.",,,
sr_europa,CUSTOM,"Europa is one of the Solar System's most intriguing worlds, hiding a vast global ocean beneath its smooth, icy crust that may contain twice as much water as all of Earth's oceans combined. This Jovian moon's surface is among the youngest in the Solar System, constantly renewed by geological processes that create a complex network of ridges, cracks, and chaotic terrain where the ice shell has been broken apart and reformed. Tidal heating from Jupiter's gravity keeps Europa's subsurface ocean liquid despite the moon's distance from the Sun, while the same forces may drive hydrothermal activity on the ocean floor similar to the deep-sea vents that support unique ecosystems on Earth. Europa's thin oxygen atmosphere is created when Jupiter's radiation splits water molecules on the surface, and recent observations suggest water vapor plumes may occasionally erupt from the south polar region, providing potential access to the hidden ocean below.",,"Europa represents one of the most promising locations to search for extraterrestrial life in our Solar System. The moon's subsurface ocean is in direct contact with a rocky mantle, potentially creating the chemical interactions necessary for life as we know it. The constant flexing of Europa's interior by Jupiter's tidal forces may drive hydrothermal circulation that could provide energy for biological processes, while the ocean's long-term stability over billions of years would have allowed time for life to evolve. The icy crust acts as a protective barrier against Jupiter's deadly radiation while potentially allowing chemical exchange between the surface and ocean through cracks and upwelling. Future missions plan to orbit Europa and possibly land on its surface to sample the ice and search for biosignatures, while more ambitious concepts envision robotic submarines that could penetrate the ice shell and explore the hidden ocean directly.",,,
sr_ganymede,CUSTOM,"Ganymede is the largest moon in the Solar System, bigger than Mercury and the only moon known to generate its own magnetic field through a partially molten iron core. This massive Jovian satellite shows clear evidence of geological activity in its grooved terrain, where the icy crust has been stretched and fractured to create parallel ridges and valleys spanning hundreds of kilometers. Ganymede's surface is divided between dark, heavily cratered regions billions of years old and brighter grooved terrain that may be only a few hundred million years old. Beneath its icy surface lies a subsurface ocean that may contain more water than all of Earth's surface water, sandwiched between layers of different types of ice under extreme pressure. The Hubble Space Telescope has detected aurora at Ganymede's poles, created by charged particles interacting with its magnetic field - the first auroral activity ever observed on a moon.",,"Ganymede's unique magnetic field creates a magnetosphere within Jupiter's much larger magnetic field, providing some protection from radiation and creating complex interactions between the two magnetic systems. The moon's internal structure likely consists of a metallic core, rocky mantle, and multiple layers of water and ice, making it more like a small planet than a typical moon. The grooved terrain suggests that Ganymede experienced a period of intense geological activity that fractured and rebuilt large portions of its surface, possibly triggered by orbital resonances or internal heating. Recent studies suggest that Ganymede's subsurface ocean may be stratified into multiple layers with different compositions, potentially including layers of exotic high-pressure ice phases not found anywhere else. As the target of ESA's JUICE mission arriving in the 2030s, Ganymede will be the first moon to be orbited by a spacecraft from another world, providing unprecedented insights into this complex and fascinating world.",,,
sr_callisto,CUSTOM,"Callisto is Jupiter's most distant major moon and one of the most heavily cratered objects in the Solar System, its ancient surface preserving a 4-billion-year record of impacts from the early Solar System's chaotic period. Unlike its neighboring moons, Callisto shows little evidence of geological activity and may never have been fully differentiated, with rock and ice mixed throughout its interior rather than separated into distinct layers. Despite its battered appearance, Callisto likely harbors a subsurface ocean beneath its icy crust, though this ocean is probably sandwiched between layers of ice and may not contact the rocky interior directly. The moon's dark surface reflects only 20% of sunlight, colored by organic compounds and dust accumulated over billions of years. Callisto's distance from Jupiter places it outside the planet's most intense radiation belts, making it a potentially safer target for future human exploration than the inner Galilean moons.",,"Callisto serves as a time capsule of the early Solar System, its heavily cratered surface telling the story of the Late Heavy Bombardment that battered all the inner worlds around 4 billion years ago. The largest impact feature, Valhalla, is a multi-ring basin over 4,000 kilometers across - evidence of a massive collision that would have reshaped the moon's interior structure. Unlike Europa and Ganymede, Callisto's subsurface ocean may be isolated from its rocky interior by layers of high-pressure ice, potentially limiting the chemical interactions necessary for life. However, the moon's stable environment and distance from Jupiter's radiation make it an attractive location for a future base to support exploration of the Jovian system. Callisto's low density suggests it formed from a mixture of rock and ice that was never heated enough to separate completely, providing insights into the conditions present during the formation of the outer Solar System's moons and small bodies.",,,
sr_titan,CUSTOM,"Titan is Saturn's largest moon and the only moon in the Solar System with a substantial atmosphere, cloaked in a thick haze of nitrogen and methane that creates weather patterns, seasonal changes, and a hydrological cycle reminiscent of early Earth. Rivers of liquid methane and ethane carve channels across Titan's surface, flowing into vast lakes and seas concentrated near the polar regions. Kraken Mare, the largest of these hydrocarbon seas, is larger than Earth's Caspian Sea and may be several hundred meters deep. Titan's surface pressure is 60% greater than Earth's, and its dense atmosphere would allow humans to fly with simple wing-powered aircraft, though the surface temperature of -179°C would require substantial protection. Beneath its icy crust, Titan likely harbors a subsurface ocean of liquid water that may contain more water than all of Earth's oceans, making it both an analog for early Earth and a potential habitat for life.",,"Titan represents a unique laboratory for studying prebiotic chemistry and atmospheric evolution under conditions that may resemble early Earth before life arose. The moon's thick atmosphere is constantly producing complex organic molecules through chemical reactions driven by solar ultraviolet light and charged particles from Saturn's magnetosphere. These organic compounds rain down onto the surface, where they accumulate into vast dune fields that cover much of Titan's equatorial regions. The Cassini-Huygens mission revealed a world of startling complexity, with evidence of cryovolcanoes that may erupt water and ammonia, impact craters partially filled with organic sediments, and possible seasonal changes in the distribution of surface liquids. Titan's subsurface ocean is likely salty and may be in contact with a rocky core, while the surface environment provides a natural laboratory for studying the kinds of organic chemistry that may have led to the origin of life on Earth billions of years ago.",,,
sr_charon,CUSTOM,"Charon is Pluto's largest moon and binary companion, forming a unique double planet system where both bodies are tidally locked to face each other for eternity. At 1,212 kilometers in diameter, Charon is about half the size of Pluto, making it proportionally the largest moon relative to its parent planet in the Solar System. The Pluto-Charon system orbits around a common center of mass (barycenter) that lies in the space between them rather than inside either body. Charon's surface shows a complex landscape of canyons, plains, and a distinctive dark polar region informally named Mordor Macula. The canyon system near Charon's equator, including Serenity Chasma, stretches over 1,000 kilometers and may have formed when a subsurface ocean froze and expanded, cracking the moon's crust. Unlike Pluto's varied terrain, Charon appears to be geologically inactive today, though evidence suggests it was active in the past when tidal heating from its formation kept its interior warm.",,"Charon's formation likely resulted from a giant impact that blasted material off Pluto, which then coalesced into the large moon we see today - similar to theories for the formation of Earth's Moon but on a much smaller scale. The dark material covering Charon's north pole may be organic compounds called tholins, created when methane escapes from Pluto's atmosphere, becomes trapped by Charon's weak gravity, and is processed by solar radiation into complex organic molecules. Charon's relatively large size compared to Pluto means that the two bodies exert significant tidal forces on each other, which may have driven early geological activity and helped circularize their orbits over time. The moon's water-ice surface shows signs of past cryovolcanism, where liquid water mixed with ammonia erupted onto the surface before freezing. As part of the Pluto system's slow orbital dance, Charon experiences extreme seasonal variations over Pluto's 248-year orbit, with each hemisphere spending over a century in continuous darkness followed by continuous daylight.",,,
sr_dsn,CUSTOM,"The Deep Space Network (DSN) is humanity's primary communication lifeline to spacecraft exploring the Solar System and beyond, consisting of three massive antenna complexes strategically positioned around Earth to maintain constant contact with deep space missions. Located in California's Mojave Desert, Spain's Madrid region, and Australia's Canberra area, these facilities use dish antennas up to 70 meters in diameter to track spacecraft billions of kilometers away. The DSN can receive signals as weak as 20 billion times fainter than the power required to operate a digital watch, while simultaneously transmitting commands and receiving scientific data from dozens of active missions including the Voyager probes now in interstellar space. Each complex operates 24 hours a day, with Earth's rotation ensuring that at least one station can always communicate with any spacecraft in the Solar System. The network also supports radio astronomy research and serves as a crucial backup for satellite navigation and Earth observation missions.",,"The DSN represents one of the most sophisticated communication networks ever built, capable of detecting signals from spacecraft at the edge of the Solar System using receivers sensitive enough to detect the energy equivalent of a snowflake hitting the ground. The 70-meter antennas can track multiple spacecraft simultaneously while also conducting radio science experiments that use spacecraft as radio sources to study planetary atmospheres, ring systems, and gravitational fields. The network's precision is extraordinary - it can determine spacecraft positions to within a few meters at distances of billions of kilometers, enabling precise navigation for planetary flybys and orbital insertions. The DSN has been continuously upgraded since the 1960s, with new digital systems and signal processing techniques allowing it to support higher data rates and more complex missions. Without the DSN, missions like Cassini's exploration of Saturn, the Mars rovers' surface operations, and Voyager's journey into interstellar space would be impossible, making it truly humanity's voice across the cosmos.",,,
sr_ssn,CUSTOM,"The Space Surveillance Network (SSN) is a global system of ground-based radars, optical telescopes, and sensors that tracks more than 34,000 objects larger than 10 centimeters in Earth orbit, from active satellites to defunct spacecraft and collision fragments. Operated primarily by the U.S. Space Force, the SSN maintains a catalog of all trackable space objects and their orbital parameters, updating this information thousands of times per day as objects move through their orbits at speeds up to 28,000 kilometers per hour. The network can detect objects as small as a marble in low Earth orbit and basketball-sized debris at geostationary altitude, providing collision warnings to satellite operators and the International Space Station when orbital paths intersect. Major facilities include the Space Fence radar in the Marshall Islands, capable of tracking objects as small as 2 centimeters, and optical telescopes that can observe satellites in high orbits where radar coverage is limited. As space becomes increasingly crowded with new satellite constellations and debris from anti-satellite tests, the SSN has become critical for maintaining safe operations in Earth's orbital environment.",,"The SSN faces the growing challenge of monitoring an increasingly congested space environment where even tiny pieces of debris pose serious threats to operational spacecraft. A fleck of paint traveling at orbital velocity can damage spacecraft windows, while larger debris can destroy satellites worth hundreds of millions of dollars. The network's sophisticated algorithms predict the future positions of tracked objects and issue collision warnings when two objects are predicted to come within a few kilometers of each other. Recent additions to the SSN include advanced phased-array radars that can track hundreds of objects simultaneously and space-based sensors that provide better coverage of objects in high orbits. The system also monitors satellite breakups, tracking the resulting debris clouds as they spread around Earth and cataloging new fragments that could pose long-term hazards. With commercial space activities expanding rapidly and new spacefaring nations joining the orbital community, the SSN's role in maintaining space situational awareness has become more crucial than ever for protecting the space infrastructure that modern civilization depends on.",,,
sr_gungnir,CUSTOM,"An abandoned Domain-era orbital dockyard hanging over Mars. The structure seems to still be intact, and the storage bays were never emptied.",,"In 2372, three officers of the USS Voyager, Ensign Harry Kim, along with Lieutenants Tom Paris and B'Elanna Torres attempted to break the transwarp threshold by running simulations of a shuttlecraft in the ship's holodeck. Ultimately, the test failed when the nacelles were ripped off the shuttle when it accelerated to warp 10. While the three attempted to solve the problem in the mess hall, Neelix, Voyager's morale officer, attempted to help. Paris asked him if he knew anything about quantum warp theory or multispectral subspace engine design. Neelix, however, knew nothing about them.",,,
sr_cryo_prison,CUSTOM,"A relic of the Domain’s final years, this cryogenic detention platform was once part of Sol’s core penal network. Designed to hold high-risk military offenders and political dissidents in indefinite stasis, it operated on fully automated protocols long after the Collapse cut it off from command. Its sealed cryobays still hum with ancient power, the sleepers within suspended between centuries — neither alive nor dead, awaiting orders that will never come.",,"Encased in armor plating scarred by time, this station drifts silently over Sol like a forgotten tomb. Its cryopods house former soldiers, scientists, and operatives frozen during the chaotic twilight of the Domain. Records are corrupted, security logs contradict each other, and multiple subsystems remain sealed behind irreversible lockdown codes. Even now, faint life-sign pings echo from deep inside its frozen vaults — reminders that some secrets, once put on ice, should stay that way.",,,
sr_translocator_signal,CUSTOM,"A repeating pulse with no visible source, sitting exactly where Glasya-Labolas said it would. It matches nothing in your navigation database, and your sensors officer would rather it stayed that way.",,,,,
