id,trigger,conditions,script,text,options,notes
srGL_yesSel,DialogOptionSelected,$option == srGL_yes,SrQuestCMD begin,"""Ah, good. We've discovered something of significance. Possibly, the location of the stuff of legends: Sol.""","srGL_7a:""Sol? You mean, the solar system where we humans come from?""
srGL_7b:""That's... not possible.""",
srGL_whatSel,DialogOptionSelected,$option == srGL_what,SrQuestCMD begin,"""Ah, good. We've discovered something of significance. Possibly, the location of the stuff of legends: Sol.""","srGL_7a:""Sol? You mean, the solar system where we humans come from?""
srGL_7b:""That's... not possible.""",
srGL_restartSel,DialogOptionSelected,$option == srGL_restart,SrQuestCMD begin,"""Ah, good. We've discovered something of significance. Possibly, the location of the stuff of legends: Sol.""","srGL_7a:""Sol? You mean, the solar system where we humans come from?""
srGL_7b:""That's... not possible.""",
# Step 8.,,,,,,
srGL_7aSel,DialogOptionSelected,$option == srGL_7a,,"""Yes, THAT Sol. We've gotten some strange readings from a region of abyssal hyperspace, so far away it barely registered on our listening devices. We think it's Sol because of the almost ancient encryption codes. I think they called it 'SHA-2'.""","srGL_9a:""That's... amazing. Where?""
srGL_9b:""Just give me the location and I'll be on the way.""",
srGL_7bSel,DialogOptionSelected,$option == srGL_7b,,"""And yet. We've gotten some strange readings from a region of abyssal hyperspace, so far away it barely registered on our listening devices. We think it's Sol because of the almost ancient encryption codes. I think they called it 'SHA-2'.""","srGL_9a:""That's... amazing. Where?""
srGL_9b:""Just give me the location and I'll be on the way.""",
# Step 10.,,,,,,
srGL_9aSel,DialogOptionSelected,$option == srGL_9a,,"""Not so fast, $playerName. It came from a region in hyperspace so dense that even if you got there, you couldn't transverse jump to the system. We're still working on why Sol suddenly started transmitting from there. However, since this discovery, our team has been working day and night to produce something that would let us access it.""","srGL_11:""How do you access a system so deep in abyssal hyperspace if you can't transverse jump to it?""",
srGL_9bSel,DialogOptionSelected,$option == srGL_9b,,"""Not so fast, $playerName. It came from a region in hyperspace so dense that even if you got there, you couldn't transverse jump to the system. We're still working on why Sol suddenly started transmitting from there. However, since this discovery, our team has been working day and night to produce something that would let us access it.""","srGL_11:""How do you access a system so deep in abyssal hyperspace if you can't transverse jump to it?""",
# Step 12: the player has already fought the Shroud.,,,,,,
srGL_11Shroud,DialogOptionSelected,"$option == srGL_11
SrQuestCMD hasShroud",,"""Here's the thing: we won't. We won't access it from there. What we've built is something way, way more intricate. We installed... a sniffer on your ships. It secretly relayed to us every encounter you've had with what we call the Shroud. With the data obtained through quantum entanglement communication directly during those encounters, we've been able to create this.""",srGL_take:Continue,
# Step 12b: no Shroud kill yet.,,,,,,
srGL_11NoShroud,DialogOptionSelected,"$option == srGL_11
!SrQuestCMD hasShroud",SrQuestCMD needShroud,"""We're missing something. We need to tune into a sort of... frequency. We don't yet have everything we need for the technology our R&D team is proposing. We estimate that we might find something in abyssal hyperspace. From what we know, there MUST be something there that allowed Sol to start transmitting. Please, go out into the Abyss and find something that can help us.""

The lattice tightens. ""Something shrouded. You will know it when it tries to kill you. Destroy one and come back.""","srGL_leave2:""I'll go look.""",
# Steps 13 and 14: the device.,,,,,,
srGL_takeSel,DialogOptionSelected,$option == srGL_take,SrQuestCMD giveDevice,"""Take this. This will allow you to transport Sol into a more suitable location. You have to be directly on top of these coordinates to not destabilize the fabric of reality.""

Coordinates scroll across the link, far beyond the northern edge of every chart you own. The device itself is already sitting in your cargo hold. Nobody saw it arrive.","srGL_leave3:""Understood.""",
srGL_leaveSel2,DialogOptionSelected,$option == srGL_leave2,"ShowDefaultVisual
EndConversation",The link closes.,,
srGL_leaveSel3,DialogOptionSelected,$option == srGL_leave3,"ShowDefaultVisual
EndConversation",The link closes.,,
# Declining.,,,,,,
srGL_noSel,DialogOptionSelected,$option == srGL_no,"SrQuestCMD decline
ShowDefaultVisual
EndConversation","""Pity. Sol will wait. It has practice.""

The link closes.",,
# Skipping the quest: confirmation and spawn.,,,,,,
srGL_skipSel,DialogOptionSelected,$option == srGL_skip,,"Are you sure? This will place the Sol system in the Persean Sector right now, skipping the rest of the quest.","0:srGL_skipYes:Yes. Place Sol now.
1:srGL_skipNo:No. Never mind.",
srGL_skipYesSel,DialogOptionSelected,$option == srGL_skipYes,"SrQuestCMD spawnSol
ShowDefaultVisual
EndConversation","The lattice flares, and for a moment every display on the bridge shows the same thing: a yellow star, nine worlds, and a set of coordinates inside the Persean Sector.

""There. Consider the paperwork skipped.""",,
srGL_skipNoSel,DialogOptionSelected,$option == srGL_skipNo,FireAll PopulateOptions,"""As you wish.""",,
